Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://www.cuscoperu.com/pt/viagens/trilha-inca/427-portugues/principais-destinos/arequipa	200	ok	text/html	102312	Trilha Inca para Machu Picchu		6	421	2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:05.043	utf-8	Aqui você vai encontrar informações úteis sobre a cidade de Arequipa como Igrejas, Museus, Casas Coloniais, Atrativos Naturais, Parques e Praças.
https://www.cuscoperu.com/pt/viagens/trilha-inca/433-portugues/principais-destinos/puno	200	ok	text/html	103413	Trilha Inca para Machu Picchu		6	426	2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.917	utf-8	Puno Folclore Capital do Peru, aqui você vai encontrar toda a informação útil de Puno, Atrações Turísticas, povos tradicionais, templos, museus.
https://www.cuscoperu.com/pt/viagens/trilha-inca/440-portugues/principais-destinos/ica-nazca-paracas	200	ok	text/html	104033	Trilha Inca para Machu Picchu		6	421	2	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.581	utf-8	Ica está localizado ao sul de Lima, oferece uma variedade de atrações turísticas como templos, parques, museus, sítios arqueológicos e atrativos naturais
https://www.cuscoperu.com/pt/passeios/cusco/lagoa-humantay-1-dia/	200	ok	text/html	248	           <span itemprop="title">Descobre a Lagoa Humantay em 1 dia</span>          		3	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.016	iso-8859-1	
https://www.ancient-code.com/20-facts-about-the-nazca-lines/	200	ok	text/html		redir	19.08.2018  04:04:05	3		1	cloudflare		00:00.860	utf-8	
https://www.cuscoperu.com/en/hotels/cusco-city/libertador-palacio-del-inka-hotel-cusco/	200	ok	text/html	270	            <span itemprop="title">Libertador Palacio del Inka Hotel Cusco</span>           		6	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.425	iso-8859-1	
https://www.cuscoperu.com/es/viajes/cusco/museos?format=feed&type=rss	200	ok	application/rss+xml				3		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:05.596	utf-8	
https://www.cuscoperu.com/es/viajes/cusco/museos?format=feed&type=atom	200	ok	application/atom+xml				3		1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.128	utf-8	
https://www.cuscoperu.com/es/viajes/cusco/museos/1113-museo-santa-catalina	200	ok	text/html	92681	Museo de Santa Catalinaaa		3	394	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:04.852	utf-8	Una ciudad tan visitada como el Cusco, no podía carecer de Museos, orientados a mostrar diversos aspectos de la cultura Pre inca, inca, colonial y republicana, se distribuyen a lo largo de la ciudad de Cusco.
https://www.cuscoperu.com/pt/passeios/trilha-inca/camino-inca-express/	200	ok	text/html	253	           <span itemprop="title">Camino Inca Express</span>          		5	1	1	Apache/2.4.27 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4		00:03.124	iso-8859-1	
