------------------------------------------------------------------------
Inbound Links for,www.cuscoperu.com
Scope,pld
Sorted by,source_page_authority
Filters:,external+not_deleted
Anchor text,all
Source PLD,all
------------------------------------------------------------------------

URL,Title,Anchor Text,Spam Score,PA,DA,Linking Domains to Page,Target URL,Link Type,Link State,Date First Seen,Date Last Seen,Date Lost,HTTP Status Code,Links to Page,Outbound Domains from Page,Outbound Links from Page
www.lavanguardia.com/viajes/20140207/54399978001/mochileando-hasta-machu-picchu-peru.html,Mochileando hasta Machu Picchu,Guía Turística de Machu Picchu,1%,46,89,10,www.cuscoperu.com/es/viajes/machupicchu,nofollow,active,2017-04-08,2018-08-03,--,200,52,11,20
sw.wikipedia.org/wiki/Francisco_Pizarro,"Francisco Pizarro - Wikipedia, kamusi elezo huru",Francisco Pizarro,--%,46,66,93,www.cuscoperu.com/index.php?option=com_content&view=article&id=689,nofollow,active,2018-03-17,2018-06-16,--,200,111,84,97
sw.wikipedia.org/wiki/Francisco_Pizarro,"Francisco Pizarro - Wikipedia, kamusi elezo huru",Francisco Pizarro,--%,46,66,93,www.cuscoperu.com/cusco/cusco/05-pizarro-cusco-peru.php,nofollow,active,2018-03-17,2018-06-16,--,200,111,84,97
www.espanol.marriott.com/hotels/maps/travel/cuzmc-jw-marriott-el-convento-cusco/,Hoteles en el centro histórico de Cusco | JW Marriott El Convento Cusco,Main Bus Station - Terminal Terrestre de Cusco,1%,46,92,3,www.cuscoperu.com/en/useful-information/flights-trains-buses/buses-to-cusco,follow,active,2016-07-07,2018-06-24,--,200,17,4,8
www.ask.com/web?q=World+Espa%C3%B1ol+Regional+Am%C3%A9rica+Per%C3%BA+Viajes+y+turismo+Gu%C3%ADas,Ask.com - What's Your Question?,Guía turística de la Ciudad de Cusco - CuscoPeru.Com,1%,45,91,3,www.cuscoperu.com/es/viajes/cusco,nofollow,active,2018-07-07,2018-07-07,--,,3,11,12
usatoday30.usatoday.com/travel/destinations/10great/2009-06-18-summer-solstice_N.htm?csp=Travel,10 great places to bask in the summer solstice - USATODAY.com,cuscoperu.com,1%,44,93,0,www.cuscoperu.com/,follow,active,2016-06-03,2016-07-12,--,200,1,25,35
traveltips.usatoday.com/peru-archaeological-vacations-35921.html,Peru Archaeological Vacations | USA Today,CuscoPeru.com: Sacred Valley of the Incas,1%,44,93,0,www.cuscoperu.com/en.html/sacred-valley.html,nofollow,active,2017-06-03,2018-07-26,--,200,37,26,36
traveltips.usatoday.com/cuzco-climate-weather-13941.html,Cuzco Climate & Weather | USA Today,CuzcoPeru.com,1%,44,93,0,www.cuscoperu.com/index.php?option=com_content&view=article&id=689,nofollow,active,2017-06-07,2018-07-31,--,200,59,23,30
traveltips.usatoday.com/cuzco-climate-weather-13941.html,Cuzco Climate & Weather | USA Today,CuzcoPeru.com,1%,44,93,0,www.cuscoperu.com/cusco/information-peru/012-geography-cusco-peru.php,nofollow,active,2017-05-14,2018-07-31,--,200,59,23,30
traveltips.usatoday.com/tourism-cuzco-peru-35904.html,"Tourism in Cuzco, Peru | USA Today",Cusco Peru Travel Guide: Travel Information About Cusco,1%,44,93,0,www.cuscoperu.com/en.html,nofollow,active,2017-04-12,2018-06-16,--,200,47,11,16
