Nro	URL	Title	Anchor Text	Spam Score	DA	Date First Seen	Date Crawled
71	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Tambomachay	58%	20	20/05/2018	19/08/2018
72	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Sacsayhuaman	58%	20	20/05/2018	19/08/2018
73	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Pucapucara	58%	20	20/05/2018	19/08/2018
74	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Moray	58%	20	20/05/2018	19/08/2018
75	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=3		Chinchero	58%	20	20/05/2018	19/08/2018
76	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Ollataytambo	58%	20	19/05/2018	19/08/2018
77	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Pisac	58%	20	19/05/2018	19/08/2018
78	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Q‘enqo	58%	20	19/05/2018	19/08/2018
79	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Mapa del centro de Cusco\nWeb sobre turismo en Cusco	58%	20	19/05/2018	19/08/2018
80	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Tambomachay	58%	20	19/05/2018	19/08/2018
81	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Sacsayhuaman	58%	20	19/05/2018	19/08/2018
82	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Pucapucara	58%	20	19/05/2018	19/08/2018
83	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Moray	58%	20	19/05/2018	19/08/2018
84	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=5		Chinchero	58%	20	19/05/2018	19/08/2018
85	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Ollataytambo	58%	20	21/05/2018	21/08/2018
86	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Pisac	58%	20	21/05/2018	21/08/2018
87	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Q‘enqo	58%	20	21/05/2018	21/08/2018
88	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Mapa del centro de Cusco\nWeb sobre turismo en Cusco	58%	20	21/05/2018	21/08/2018
89	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Tambomachay	58%	20	21/05/2018	21/08/2018
90	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Sacsayhuaman	58%	20	21/05/2018	21/08/2018
91	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Pucapucara	58%	20	21/05/2018	21/08/2018
92	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Moray	58%	20	21/05/2018	21/08/2018
93	www.coolors.net/heviajado/blog/2008/12/cusco-y-el-valle-sagrado/?nggpage=2		Chinchero	58%	20	21/05/2018	21/08/2018
94	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Ollataytambo	58%	20	8/05/2018	9/08/2018
95	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Pisac	58%	20	8/05/2018	9/08/2018
96	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Q‘enqo	58%	20	8/05/2018	9/08/2018
97	www.coolors.net/heviajado/blog/?p=825&akst_action=share-this		Mapa del centro de Cusco\nWeb sobre turismo en Cusco	58%	20	8/05/2018	9/08/2018
